key,val18,key,val19,Question
Q1,What is your gender? - Selected Choice,Time from Start to Finish (seconds),Duration (in seconds),Select your gender identity. - Selected Choice
Q10,Does your current employer incorporate machine learning methods into their business?,Q1,What is your age (# years)?,Select your gender identity. - A different identity - Text
Q11,Select any activities that make up an important part of your role at work: (Select all that apply) - Selected Choice,Q2,What is your gender? - Selected Choice,Select the country you currently live in.
Q12,What is the primary tool that you use at work or school to analyze data? (include text response) - Selected Choice,Q3,In which country do you currently reside?,What's your age?
Q13,Which of the following integrated development environments (IDE's) have you used at work or school in the last 5 years? (Select all that apply) - Selected Choice,Q4,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,What's your current employment status?
Q14,Which of the following hosted notebooks have you used at work or school in the last 5 years? (Select all that apply) - Selected Choice,Q5,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,Are you currently enrolled as a student at a degree granting school?
Q15,Which of the following cloud computing services have you used at work or school in the last 5 years? (Select all that apply) - Selected Choice,Q6,What is the size of the company where you are employed?,Are you currently focused on learning data science skills either formally or informally?
Q16,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice,Q7,Approximately how many individuals are responsible for data science workloads at your place of business?,What's your motivation for being a Kaggle user?
Q17,What specific programming language do you use most often? - Selected Choice,Q8,Does your current employer incorporate machine learning methods into their business?,"Do you write code to analyze data in your current job, freelance contracts, or most recent job if retired?"
Q18,What programming language would you recommend an aspiring data scientist to learn first? - Selected Choice,Q9,Select any activities that make up an important part of your role at work: (Select all that apply) - Selected Choice,Are you actively looking to switch careers to data science?
Q19,What machine learning frameworks have you used in the past 5 years? (Select all that apply) - Selected Choice,Q10,What is your current yearly compensation (approximate $USD)?,Select the option that's most similar to your current job/professional title (or most recent title if retired). - Selected Choice
Q2,What is your age (# years)?,Q11,Approximately how much money have you spent on machine learning and/or cloud computing products at your work in the past 5 years?,Select the option that's most similar to your current job/professional title (or most recent title if retired). - Other - Text
Q20,"Of the choices that you selected in the previous question, which ML library have you used the most? - Selected Choice",Q12,Who/what are your favorite media sources that report on data science topics? (Select all that apply) - Selected Choice,How adequately do you feel your title describes what you do (or what you did if retired)?
Q21,What data visualization libraries or tools have you used in the past 5 years? (Select all that apply) - Selected Choice,Q13,On which platforms have you begun or completed data science courses? (Select all that apply) - Selected Choice,Which of the following describe your current employer (or most recent employer if retired)? (Select all that apply)
Q22,"Of the choices that you selected in the previous question, which specific data visualization library or tool have you used the most? - Selected Choice",Q14,What is the primary tool that you use at work or school to analyze data? (Include text response) - Selected Choice,Which tool or technology are you most excited about learning in the next year? (Select one option) - Selected Choice
Q23,Approximately what percent of your time at work or school is spent actively coding?,Q15,How long have you been writing code to analyze data (at work or at school)?,Which tool or technology are you most excited about learning in the next year? (Select one option) - Other - Text
Q24,How long have you been writing code to analyze data?,Q16,Which of the following integrated development environments (IDE's) do you use on a regular basis?  (Select all that apply) - Selected Choice,Which ML/DS method are you most excited about learning in the next year? (Select one option) - Selected Choice
Q25,For how many years have you used machine learning methods (at work or in school)?,Q17,Which of the following hosted notebook products do you use on a regular basis?  (Select all that apply) - Selected Choice,Which ML/DS method are you most excited about learning in the next year? (Select one option) - Other - Text
Q26,Do you consider yourself to be a data scientist?,Q18,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice,What programming language would you recommend a new data scientist learn first? (Select one option) - Selected Choice
Q27,Which of the following cloud computing products have you used at work or school in the last 5 years (Select all that apply)? - Selected Choice,Q19,What programming language would you recommend an aspiring data scientist to learn first? - Selected Choice,What programming language would you recommend a new data scientist learn first? (Select one option) - Other - Text
Q28,Which of the following machine learning products have you used at work or school in the last 5 years? (Select all that apply) - Selected Choice,Q20,What data visualization libraries or tools do you use on a regular basis?  (Select all that apply) - Selected Choice,Where do you find public datasets to practice data science skills? (Select all that apply) - Selected Choice
Q29,Which of the following relational database products have you used at work or school in the last 5 years? (Select all that apply) - Selected Choice,Q21,Which types of specialized hardware do you use on a regular basis?  (Select all that apply) - Selected Choice,Where do you find public datasets to practice data science skills? (Select all that apply) - Other - Text
Q3,In which country do you currently reside?,Q22,Have you ever used a TPU (tensor processing unit)?,What is your biggest challenge with the public datasets you find for personal projects?
Q30,Which of the following big data and analytics products have you used at work or school in the last 5 years? (Select all that apply) - Selected Choice,Q23,For how many years have you used machine learning methods?,What platforms & resources have you used to continue learning data science skills? (Select all that apply) - Selected Choice
Q31,Which types of data do you currently interact with most often at work or school? (Select all that apply) - Selected Choice,Q24,Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice,What platforms & resources have you used to continue learning data science skills? (Select all that apply) - Non-Kaggle online communities - Text
Q32,What is the type of data that you currently interact with most often at work or school? - Selected Choice,Q25,Which categories of ML tools do you use on a regular basis?  (Select all that apply) - Selected Choice,What platforms & resources have you used to continue learning data science skills? (Select all that apply) - Other - Text1
Q33,Where do you find public datasets? (Select all that apply) - Selected Choice,Q26,Which categories of computer vision methods do you use on a regular basis?  (Select all that apply) - Selected Choice,What platforms & resources have you used to continue learning data science skills? (Select all that apply) - Other - Text2
Q34,"During a typical data science project at work or school, approximately what proportion of your time is devoted to the following? (Answers must add up to 100%) - Cleaning data",Q27,Which of the following natural language processing (NLP) methods do you use on a regular basis?  (Select all that apply) - Selected Choice,What platforms & resources have you used to continue learning data science skills? (Select all that apply) - Other - Text3
Q35,What percentage of your current machine learning/data science training falls under each category? (Answers must add up to 100%) - Self-taught,Q28,Which of the following machine learning frameworks do you use on a regular basis? (Select all that apply) - Selected Choice,How useful did you find these platforms & resources for learning data science skills? - Arxiv
Q36,On which online platforms have you begun or completed data science courses? (Select all that apply) - Selected Choice,Q29,Which of the following cloud computing platforms do you use on a regular basis? (Select all that apply) - Selected Choice,How useful did you find these platforms & resources for learning data science skills? - Blogs
Q37,On which online platform have you spent the most amount of time? - Selected Choice,Q30,Which specific cloud computing products do you use on a regular basis? (Select all that apply) - Selected Choice,How useful did you find these platforms & resources for learning data science skills? - College/University
Q38,Who/what are your favorite media sources that report on data science topics? (Select all that apply) - Selected Choice,Q31,Which specific big data / analytics products do you use on a regular basis? (Select all that apply) - Selected Choice,How useful did you find these platforms & resources for learning data science skills? - Company internal community
Q39,How do you perceive the quality of online learning platforms and in-person bootcamps as compared to the quality of the education provided by traditional brick and mortar institutions? - Online learning platforms and MOOCs:,Q32,Which of the following machine learning products do you use on a regular basis? (Select all that apply) - Selected Choice,How useful did you find these platforms & resources for learning data science skills? - Conferences
Q4,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Q33,Which automated machine learning tools (or partial AutoML tools) do you use on a regular basis?  (Select all that apply) - Selected Choice,How useful did you find these platforms & resources for learning data science skills? - Friends network
Q40,Which better demonstrates expertise in data science: academic achievements or independent projects? - Your views:,Q34,Which of the following relational database products do you use on a regular basis? (Select all that apply) - Selected Choice,How useful did you find these platforms & resources for learning data science skills? - Kaggle
Q41,How do you perceive the importance of the following topics? - Fairness and bias in ML algorithms:,,,How useful did you find these platforms & resources for learning data science skills? - Newsletters
Q42,What metrics do you or your organization use to determine whether or not your models were successful? (Select all that apply) - Selected Choice,,,How useful did you find these platforms & resources for learning data science skills? - Non-Kaggle online communities
Q43,Approximately what percent of your data projects involved exploring unfair bias in the dataset and/or algorithm?,,,How useful did you find these platforms & resources for learning data science skills? - Non-Kaggle online communities - Text
Q44,What do you find most difficult about ensuring that your algorithms are fair and unbiased? (Select all that apply),,,How useful did you find these platforms & resources for learning data science skills? - Official documentation
Q45,In what circumstances would you explore model insights and interpret your model's predictions? (Select all that apply),,,How useful did you find these platforms & resources for learning data science skills? - Online courses
Q46,Approximately what percent of your data projects involve exploring model insights?,,,How useful did you find these platforms & resources for learning data science skills? - Personal Projects
Q47,What methods do you prefer for explaining and/or interpreting decisions that are made by ML models? (Select all that apply) - Selected Choice,,,How useful did you find these platforms & resources for learning data science skills? - Podcasts
Q48,"Do you consider ML models to be ""black boxes"" with outputs that are difficult or impossible to explain?",,,How useful did you find these platforms & resources for learning data science skills? - Stack Overflow Q&A
Q49,What tools and methods do you use to make your work easy to reproduce? (Select all that apply) - Selected Choice,,,How useful did you find these platforms & resources for learning data science skills? - Textbook
Q5,Which best describes your undergraduate major? - Selected Choice,,,How useful did you find these platforms & resources for learning data science skills? - Trade book
Q50,What barriers prevent you from making your work even easier to reuse and reproduce? (Select all that apply) - Selected Choice,,,How useful did you find these platforms & resources for learning data science skills? - Tutoring/mentoring
Q6,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,,,How useful did you find these platforms & resources for learning data science skills? - YouTube Videos
Q7,In what industry is your current employer/contract (or your most recent employer if retired)? - Selected Choice,,,How useful did you find these platforms & resources for learning data science skills? - Other1
Q8,How many years of experience do you have in your current role?,,,How useful did you find these platforms & resources for learning data science skills? - Other - Text1
Q9,What is your current yearly compensation (approximate $USD)?,,,How useful did you find these platforms & resources for learning data science skills? - Other2
Time from Start to Finish (seconds),Duration (in seconds),,,How useful did you find these platforms & resources for learning data science skills? - Other - Text2
,,,,How useful did you find these platforms & resources for learning data science skills? - Other3
,,,,How useful did you find these platforms & resources for learning data science skills? - Other - Text3
,,,,What are your top 3 favorite data science blogs/podcasts/newsletters? (Select up to three options) - Selected Choice
,,,,What are your top 3 favorite data science blogs/podcasts/newsletters? (Select up to three options) - Other (Separate different answers with semicolon) - Text
,,,,How long have you been learning data science?
,,,,How important do you think the below skills or certifications are in getting a data science job? - 'Big Data' technology
,,,,How important do you think the below skills or certifications are in getting a data science job? - Academic degree in related field
,,,,How important do you think the below skills or certifications are in getting a data science job? - Advanced Statistics
,,,,How important do you think the below skills or certifications are in getting a data science job? - Enterprise Tools (e.g. SAS)
,,,,How important do you think the below skills or certifications are in getting a data science job? - Fluent in Python
,,,,How important do you think the below skills or certifications are in getting a data science job? - Fluent in R
,,,,How important do you think the below skills or certifications are in getting a data science job? - Fluent in SQL
,,,,How important do you think the below skills or certifications are in getting a data science job? - Kaggle ranking
,,,,How important do you think the below skills or certifications are in getting a data science job? - Online certification or MOOC
,,,,How important do you think the below skills or certifications are in getting a data science job? - Visualization Tools
,,,,How important do you think the below skills or certifications are in getting a data science job? - Other1
,,,,How important do you think the below skills or certifications are in getting a data science job? - Other - Text1
,,,,How important do you think the below skills or certifications are in getting a data science job? - Other2
,,,,How important do you think the below skills or certifications are in getting a data science job? - Other - Text2
,,,,How important do you think the below skills or certifications are in getting a data science job? - Other3
,,,,How important do you think the below skills or certifications are in getting a data science job? - Other - Text3
,,,,On which online platforms have you begun or completed data science courses? - Selected Choice
,,,,On which online platforms have you begun or completed data science courses? - Other - Text
,,,,Which computing hardware do you use for your personal ML/DS projects? - Selected Choice
,,,,Which computing hardware do you use for your personal ML/DS projects? - Other - Text
,,,,"On average, how many hours a week do you spend studying data science?"
,,,,What's the most important way you can prove your knowledge of ML/DS? (Select one option) - Selected Choice
,,,,What's the most important way you can prove your knowledge of ML/DS? (Select one option) - Other - Text
,,,,What's the most impactful machine learning algorithm you've ever deployed?
,,,,"If given the necessary resources and time, what problem would you personally choose to tackle with machine learning?"
,,,,Do you currently consider yourself a data scientist? - Selected Choice
,,,,Do you currently consider yourself a data scientist? - Sort of (Explain more) - Text
,,,,Which level of formal education have you attained?
,,,,Which best describes your undergraduate major? - Selected Choice
,,,,Which best describes your undergraduate major? - Other - Text
,,,,How long have you been writing code to analyze data?
,,,,Select all other job titles you've held in the past 10 years? (Select all that apply) - Selected Choice
,,,,Select all other job titles you've held in the past 10 years? (Select all that apply) - Other - Text
,,,,How did you first start your machine learning / data science training? (Select one option) - Selected Choice
,,,,How did you first start your machine learning / data science training? (Select one option) - Other - Text
,,,,What percentage of your current machine learning / data science training falls under each category? (Total must equal 100%) - Self-taught
,,,,"What percentage of your current machine learning / data science training falls under each category? (Total must equal 100%) - Online courses (coursera, udemy, edx, ..etc.)"
,,,,What percentage of your current machine learning / data science training falls under each category? (Total must equal 100%) - Work
,,,,What percentage of your current machine learning / data science training falls under each category? (Total must equal 100%) - University
,,,,What percentage of your current machine learning / data science training falls under each category? (Total must equal 100%) - Kaggle competitions
,,,,What percentage of your current machine learning / data science training falls under each category? (Total must equal 100%) - Other
,,,,What percentage of your current machine learning / data science training falls under each category? (Total must equal 100%) - Other - Text
,,,,In which areas of machine learning do you consider yourself competent? (Select all that apply) - Selected Choice
,,,,In which areas of machine learning do you consider yourself competent? (Select all that apply) - Other (please specify; separate by semi-colon) - Text
,,,,In which machine learning techniques do you consider yourself competent? (Select all that apply) - Selected Choice
,,,,In which machine learning techniques do you consider yourself competent? (Select all that apply) - Other (please specify; separate by semi-colon) - Text
,,,,What's the highest level of education completed by either of your parents?
,,,,Which industry is your current employer/contract in (or most recent employer if retired)? - Selected Choice
,,,,Which industry is your current employer/contract in (or most recent employer if retired)? - Other - Text
,,,,How many employees work at your current or most recent company?
,,,,How has the size of your organization's ML/DS staff changed over the past year?
,,,,How many years has your organization been utilizing advanced analytics/data science?
,,,,How did you find your current job? - Selected Choice
,,,,How did you find your current job? - Some other way - Text
,,,,How important was your formal education or degree to your career success analyzing data?
,,,,What is the primary function of your role? (Select one option) - Selected Choice
,,,,What is the primary function of your role? (Select one option) - Other - Text
,,,,"At work, which computing hardware do you use for ML/DS projects? - Selected Choice"
,,,,"At work, which computing hardware do you use for ML/DS projects? - Other - Text"
,,,,"At work, which kind of data do you typically work with? - Selected Choice"
,,,,"At work, which kind of data do you typically work with? - Other - Text"
,,,,"At work, how often do the models you build get put into production?"
,,,,"At work, which libraries do you typically use? (Please separate different answers with semicolons)"
,,,,"Of the models you've trained at work, what is the typical size of datasets used?"
,,,,"At work, which algorithms/analytic methods do you typically use? (Select all that apply) - Selected Choice"
,,,,"At work, which algorithms/analytic methods do you typically use? (Select all that apply) - Other - Text"
,,,,"For work, which data science/analytics tools, technologies, and languages have you used in the past year? (Select all that apply) - Selected Choice"
,,,,"For work, which data science/analytics tools, technologies, and languages have you used in the past year? (Select all that apply) - Other - Text1"
,,,,"For work, which data science/analytics tools, technologies, and languages have you used in the past year? (Select all that apply) - Other - Text2"
,,,,"For work, which data science/analytics tools, technologies, and languages have you used in the past year? (Select all that apply) - Other - Text3"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Amazon Machine Learning"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Amazon Web services"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Angoss"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - C/C++"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Cloudera"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - DataRobot"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Flume"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Google Cloud Compute"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Hadoop/Hive/Pig"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - IBM Cognos"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - IBM SPSS Modeler"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - IBM SPSS Statistics"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - IBM Watson / Waton Analytics"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Impala"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Java"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Julia"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Jupyter notebooks"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - KNIME (commercial version)"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - KNIME (free version)"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Mathematica"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - MATLAB/Octave"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Microsoft Azure Machine Learning"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Microsoft Excel Data Mining"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Microsoft R Server (Formerly Revolution Analytics)"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Microsoft SQL Server Data Mining"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Minitab"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - NoSQL"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Oracle Data Mining/ Oracle R Enterprise"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Orange"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Perl"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Python"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - QlikView"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - R"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - RapidMiner (commercial version)"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - RapidMiner (free version)"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Salfrod Systems CART, MARS, TreeNet, RF, SPM"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - SAP BusinessObjects Predictive Analytics"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - SAS Base"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - SAS Enterprise Miner"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - SAS JMP"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Spark / MLlib"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - SQL"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Stan"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Statistica (Quest/Dell, formerly Statsoft)"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Tableau"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - TensorFlow"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - TIBCO Spotfire"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Unix shell / awk"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Other1"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Other - Text1"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Other2"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Other - Text2"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Other3"
,,,,"At work, how often did you use the following data science/analytics tools, technologies, and languages this past year? - Other - Text3"
,,,,"At work, which data science methods do you use? (Select all that apply) - Selected Choice"
,,,,"At work, which data science methods do you use? (Select all that apply) - Other - Text1"
,,,,"At work, which data science methods do you use? (Select all that apply) - Other - Text2"
,,,,"At work, which data science methods do you use? (Select all that apply) - Other - Text3"
,,,,"At work, how often do you use the following data science methods? - A/B Testing"
,,,,"At work, how often do you use the following data science methods? - Association Rules"
,,,,"At work, how often do you use the following data science methods? - Bayesian Techniques"
,,,,"At work, how often do you use the following data science methods? - CNNs"
,,,,"At work, how often do you use the following data science methods? - Collaborative Filtering"
,,,,"At work, how often do you use the following data science methods? - Cross-Validation"
,,,,"At work, how often do you use the following data science methods? - Data Visualization"
,,,,"At work, how often do you use the following data science methods? - Decision Trees"
,,,,"At work, how often do you use the following data science methods? - Ensemble Methods"
,,,,"At work, how often do you use the following data science methods? - Evolutionary Approaches"
,,,,"At work, how often do you use the following data science methods? - GANs"
,,,,"At work, how often do you use the following data science methods? - Gradient Boosted Machines"
,,,,"At work, how often do you use the following data science methods? - HMMs"
,,,,"At work, how often do you use the following data science methods? - kNN and Other Clustering"
,,,,"At work, how often do you use the following data science methods? - Lift Analysis"
,,,,"At work, how often do you use the following data science methods? - Logistic Regression"
,,,,"At work, how often do you use the following data science methods? - Markov Logic Networks"
,,,,"At work, how often do you use the following data science methods? - Naive Bayes"
,,,,"At work, how often do you use the following data science methods? - Natural Language Processing"
,,,,"At work, how often do you use the following data science methods? - Neural Networks"
,,,,"At work, how often do you use the following data science methods? - PCA and Dimensionality Reduction"
,,,,"At work, how often do you use the following data science methods? - Prescriptive Modeling"
,,,,"At work, how often do you use the following data science methods? - Random Forests"
,,,,"At work, how often do you use the following data science methods? - Recommender Systems"
,,,,"At work, how often do you use the following data science methods? - RNNs"
,,,,"At work, how often do you use the following data science methods? - Segmentation"
,,,,"At work, how often do you use the following data science methods? - Simulation"
,,,,"At work, how often do you use the following data science methods? - SVMs"
,,,,"At work, how often do you use the following data science methods? - Text Analytics"
,,,,"At work, how often do you use the following data science methods? - Time Series Analysis"
,,,,"At work, how often do you use the following data science methods? - Other1"
,,,,"At work, how often do you use the following data science methods? - Other - Text1"
,,,,"At work, how often do you use the following data science methods? - Other2"
,,,,"At work, how often do you use the following data science methods? - Other - Text2"
,,,,"At work, how often do you use the following data science methods? - Other3"
,,,,"At work, how often do you use the following data science methods? - Other - Text3"
,,,,"At work, on average, what percentage of your time is devoted to:  (Total must equal 100%) - Gathering and cleaning data"
,,,,"At work, on average, what percentage of your time is devoted to:  (Total must equal 100%) - Model building/model selection"
,,,,"At work, on average, what percentage of your time is devoted to:  (Total must equal 100%) - Putting your work into production"
,,,,"At work, on average, what percentage of your time is devoted to:  (Total must equal 100%) - Visualizing data"
,,,,"At work, on average, what percentage of your time is devoted to:  (Total must equal 100%) - Finding insights in the data and communicating these to relevant stakeholders"
,,,,"At work, on average, what percentage of your time is devoted to:  (Total must equal 100%) - Other"
,,,,"At work, on average, what percentage of your time is devoted to:  (Total must equal 100%) - Other - Text"
,,,,At which level do you understand the mathematics behind the algorithms you use at work?
,,,,"At work, which barriers or challenges have you faced this past year? (Select all that apply) - Selected Choice"
,,,,"At work, which barriers or challenges have you faced this past year? (Select all that apply) - Other - Text"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Company politics / Lack of management/financial support for a data science team"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Data Science results not used by business decision makers"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Did not instrument data useful for scientific analysis and decision-making"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Difficulties in deployment/scoring"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Dirty data"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Explaining data science to others"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - I prefer not to say"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Inability to integrate findings into organization's decision-making process"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Lack of data science talent in the organization"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Lack of funds to buy useful datasets from external sources"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Lack of significant domain expert input"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Limitations in the state of the art in machine learning"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Limitations of tools"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Maintaining responsible expectations about the potential impact of data science projects"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Need to coordinate with IT"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Organization is small and cannot afford a data science team"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Privacy issues"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Scaling data science solution up to full database"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Team using multiple ad-hoc development environments such as Python, R, Java, etc."
,,,,"At work, how often did you experience these barriers or challenges within the past year? - The lack of a clear question to be answering, or a clear direction to go in, with the available data"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Unavailability of/difficult access to data"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Other"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Other - Text"
,,,,"At work, what proportion of your analytics projects incorporate data visualization?"
,,,,"At work, to what degree does your team use interval versus external resources for data science projects? (Select one option)"
,,,,"At work, where does the data scientist team sit within the organization? - Selected Choice"
,,,,"At work, where does the data scientist team sit within the organization? - Other - Text"
,,,,"At work, in addition to proprietary data, what third party and public datasets do you work with? (Please separate different answers with semicolons)"
,,,,What is your biggest challenge for working with your source data?
,,,,"At work, which of these data storage models do you typically use? (Select all that apply) - Selected Choice"
,,,,"At work, which of these data storage models do you typically use? (Select all that apply) - Other - Text"
,,,,"At work, which tools do you use to share source data? (Select all that apply) - Selected Choice"
,,,,"At work, which tools do you use to share source data? (Select all that apply) - Other - Text"
,,,,"At work, which tools do you use to share code? (Select all that apply) - Selected Choice"
,,,,"At work, which tools do you use to share code? (Select all that apply) - Other - Text"
,,,,How often do you work remotely?
,,,,"What is your current total yearly compensation (salary + bonus)? - Total Amount (e.g. 75,000) - Your Compensation: -"
,,,,What is your current total yearly compensation (salary + bonus)? - Choose your currency: - Your Compensation:
,,,,How has your salary/compensation changed in the past 3 years? - Selected Choice
,,,,How has your salary/compensation changed in the past 3 years? - Other - Text
,,,,"On a scale from 0 (Highly Dissatisfied) - 10 (Highly Satisfied), how satisfied are you with your current job?"
,,,,Which resource has been the best for finding data science job openings? (Select one option) - Selected Choice
,,,,Which resource has been the best for finding data science job openings? (Select one option) - Other - Text
,,,,How many hours per week have you typically spend looking for a data science job?
,,,,How are you assessing potential job opportunities? - Opportunities for professional development
,,,,How are you assessing potential job opportunities? - The compensation and benefits offered
,,,,How are you assessing potential job opportunities? - The office environment I'd be working in
,,,,"How are you assessing potential job opportunities? - The languages, frameworks, and other technologies I'd be working with"
,,,,How are you assessing potential job opportunities? - The amount of time I'd have to spend commuting
,,,,How are you assessing potential job opportunities? - How projects are managed at the company or organization
,,,,How are you assessing potential job opportunities? - The experience level called for in the job description
,,,,How are you assessing potential job opportunities? - The specific department or team I'd be working on
,,,,How are you assessing potential job opportunities? - The specific role or job title I'd be applying for
,,,,How are you assessing potential job opportunities? - The financial performance or funding status of the company or organization
,,,,How are you assessing potential job opportunities? - How widely used or impactful the product or service I'd be working on is
,,,,How are you assessing potential job opportunities? - The opportunity to work from home/remotely
,,,,How are you assessing potential job opportunities? - The industry that I'd be working in
,,,,How are you assessing potential job opportunities? - The reputations of the company's senior leaders
,,,,How are you assessing potential job opportunities? - The diversity of the company or organization
,,,,How are you assessing potential job opportunities? - Opportunity to publish my results
